"tconst","titleType","primaryTitle","startYear","runtimeMinutes","genres","averageRating","numVotes"
"tt0002130","movie","Dante's Inferno","1911","71","Adventure,Drama,Fantasy",7,3517
"tt0002423","movie","Passion","1919","113","Biography,Drama,Romance",6.6,1015
"tt0002844","movie","Fantômas: In the Shadow of the Guillotine","1913","54","Crime,Drama",6.9,2507
"tt0003014","movie","Ingeborg Holm","1913","96","Drama",7,1441
"tt0003037","movie","Fantomas: The Man in Black","1913","61","Crime,Drama",6.9,1698
"tt0003165","movie","Fantômas: The Dead Man Who Killed","1913","90","Crime,Drama,Mystery",6.9,1343
"tt0003419","movie","The Student of Prague","1913","85","Drama,Fantasy,Horror",6.4,2424
"tt0003643","movie","The Avenging Conscience: or 'Thou Shalt Not Kill'","1914","78","Crime,Drama,Horror",6.4,1436
"tt0003740","movie","Cabiria","1914","148","Adventure,Drama,History",7.1,3985
"tt0003772","movie","Cinderella","1914","52","Drama,Fantasy",6,1086
"tt0003930","movie","Fantomas: The Mysterious Finger Print","1914","59","Crime,Drama",6.8,1439
"tt0003952","movie","Fantômas: The False Magistrate","1914","70","Crime,Drama",6.7,1211
"tt0004026","movie","The Golem","1914","60","Horror",6.7,1247
"tt0004181","movie","Judith of Bethulia","1914","61","Drama",6.2,1453
"tt0004465","movie","The Perils of Pauline","1914","199","Action,Adventure,Drama",6.3,1092
"tt0004635","movie","The Squaw Man","1914","74","Action,Drama,Romance",5.7,1055
"tt0004707","movie","Tillie's Punctured Romance","1914","82","Comedy",6.3,3742
"tt0004972","movie","The Birth of a Nation","1915","195","Drama,History,War",6.1,26455
"tt0005060","movie","Carmen","1915","59","Drama",6.3,1089
"tt0005078","movie","The Cheat","1915","59","Drama,Romance",6.5,2829
"tt0005339","movie","A Fool There Was","1915","67","Drama",5.7,1050
"tt0005916","movie","After Death","1915","46","Drama,Horror",6.8,1030
"tt0005960","movie","The Regeneration","1915","72","Biography,Crime,Drama",6.8,1440
"tt0006206","movie","Les vampires","1915","421","Action,Adventure,Crime",7.3,5461
"tt0006333","movie","20,000 Leagues Under the Sea","1916","105","Action,Adventure,Sci-Fi",6.1,2013
"tt0006780","movie","Hell's Hinges","1916","64","Romance,Western",6.7,1091
"tt0006864","movie","Intolerance","1916","163","Drama,History",7.7,16799
"tt0006886","movie","Judex","1916","300","Adventure,Crime",7.2,1136
"tt0008443","movie","The Poor Little Rich Girl","1917","78","Comedy,Drama,Family",6.7,1557
"tt0008663","movie","A Man There Was","1917","65","Drama,War",7.3,2346
"tt0008879","movie","The Outlaw and His Wife","1918","72","Drama",7.2,2103
"tt0008891","movie","The Blue Bird","1918","75","Family,Fantasy",6.9,1025
"tt0009150","movie","Hearts of the World","1918","117","Drama,War",6.6,1112
"tt0009369","movie","Mickey","1918","93","Comedy,Drama",6.1,1183
"tt0009652","movie","Stella Maris","1918","84","Drama",6.9,1591
"tt0009878","movie","Different from the Others","1919","50","Crime,Drama,History",7,1511
"tt0009892","movie","Auction of Souls","1919","80","Drama,History,Romance",5.5,1244
"tt0009893","movie","The Oyster Princess","1919","60","Comedy",7.2,2181
"tt0009937","movie","Blind Husbands","1919","102","Drama,Romance",6.9,1703
"tt0009968","movie","Broken Blossoms","1919","90","Drama,Romance",7.2,11110
"tt0010040","movie","Daddy-Long-Legs","1919","85","Comedy,Drama",6.6,1482
"tt0010071","movie","Don't Change Your Husband","1919","71","Comedy",6.6,1277
"tt0010247","movie","Sir Arne's Treasure","1919","122","Drama,History",7.1,1567
"tt0010267","movie","The Hoodlum","1919","78","Comedy",6.7,1046
"tt0010281","movie","I Don't Want to Be a Man","1918","45","Comedy,Romance",6.8,1657
"tt0010307","movie","J'accuse!","1919","166","Drama,Horror,War",7.7,2081
"tt0010323","movie","The Cabinet of Dr. Caligari","1920","67","Horror,Mystery,Thriller",8,70480
"tt0010418","movie","Male and Female","1919","116","Adventure,Drama",7,1981
"tt0010598","movie","The President","1919","85","Drama",6.6,1062
"tt0010600","movie","The Doll","1919","66","Comedy,Fantasy,Sci-Fi",7.4,2381
"tt0010726","movie","The Spiders - Episode 1: The Golden Sea","1919","130","Adventure,Western",6.5,1458
"tt0010806","movie","True Heart Susie","1919","87","Comedy,Drama,Romance",6.9,2005
"tt0011000","movie","Leaves From Satan's Book","1920","167","Drama",6.6,1360
"tt0011130","movie","Dr. Jekyll and Mr. Hyde","1920","69","Drama,Horror,Sci-Fi",6.9,6076
"tt0011157","movie","Erotikon","1920","106","Comedy,Romance",6.4,1053
"tt0011221","movie","Genuine: The Tragedy of a Vampire","1920","88","Horror",5.9,1139
"tt0011237","movie","The Golem","1920","91","Fantasy,Horror",7.2,8596
"tt0011387","movie","The Last of the Mohicans","1920","73","Action,Adventure,Drama",6.7,1449
"tt0011439","movie","The Mark of Zorro","1920","79","Adventure,Romance,Western",7.1,2810
"tt0011565","movie","The Penalty","1920","90","Crime,Drama,Thriller",7.4,2647
"tt0011607","movie","The Parson's Widow","1920","94","Comedy,Drama,Horror",7.1,1526
"tt0011652","movie","The Saphead","1920","77","Comedy,Drama,Romance",6.1,1774
"tt0011723","movie","The Spiders - Episode 2: The Diamond Ship","1920","104","Adventure",6.1,1103
"tt0011841","movie","Way Down East","1920","145","Drama,Romance",7.3,5922
"tt0011865","movie","Why Change Your Wife?","1920","90","Comedy,Drama",6.7,1498
"tt0011870","movie","Within Our Gates","1920","79","Drama,Romance",6.4,3660
"tt0011904","movie","The Ace of Hearts","1921","75","Crime,Drama,Mystery",6.8,1328
"tt0011909","movie","The Affairs of Anatol","1921","117","Comedy,Drama",6.6,1363
"tt0011960","movie","The Wildcat","1921","79","Comedy,Drama,Romance",6.9,1326
"tt0012027","movie","Camille","1921","72","Drama,Romance",6.5,1068
"tt0012190","movie","The Four Horsemen of the Apocalypse","1921","150","Drama,Romance,War",7.1,3561
"tt0012349","movie","The Kid","1921","68","Comedy,Drama,Family",8.2,135554
"tt0012364","movie","The Phantom Carriage","1921","107","Drama,Fantasy,Horror",8,14195
"tt0012494","movie","Destiny","1921","114","Drama,Fantasy,Horror",7.6,6734
"tt0012532","movie","Orphans of the Storm","1921","150","Drama,History,Romance",7.3,5497
"tt0012642","movie","A Sailor-Made Man","1921","47","Action,Adventure,Comedy",6.8,1254
"tt0012651","movie","The Haunted Castle","1921","69","Crime,Drama,Mystery",6.1,2075
"tt0012675","movie","The Sheik","1921","86","Adventure,Drama,Romance",6.2,3690
"tt0012752","movie","The Three Musketeers","1921","119","Action,Adventure,Family",6.9,1156
"tt0012763","movie","Tol'able David","1921","99","Drama",7.1,1951
"tt0012938","movie","Beyond the Rocks","1922","80","Drama,Romance",6.7,2408
"tt0012952","movie","Blood and Sand","1922","108","Drama,Romance,Sport",6.3,1545
"tt0013075","movie","Dr. Jack","1922","60","Comedy,Romance",7.1,1688
"tt0013086","movie","Dr. Mabuse, the Gambler","1922","242","Crime,Mystery,Thriller",7.8,9226
"tt0013140","movie","Foolish Wives","1922","117","Drama,Thriller",7,4057
"tt0013201","movie","Grandma's Boy","1922","60","Comedy,Family",7,2066
"tt0013257","movie","Häxan","1922","91","Documentary,Fantasy,Horror",7.6,16881
"tt0013427","movie","Nanook of the North","1922","78","Documentary",7.6,13532
"tt0013442","movie","Nosferatu","1922","94","Fantasy,Horror",7.9,106071
"tt0013496","movie","Phantom","1922","125","Drama,Romance",6.7,1962
"tt0013556","movie","Robin Hood","1922","143","Adventure,Family,Romance",7,2503
"tt0013571","movie","Salomé","1922","72","Biography,Drama,History",6.6,1176
"tt0013579","movie","Warning Shadows","1923","90","Drama,Fantasy,Horror",6.6,1129
"tt0013750","movie","When Knighthood Was in Flower","1922","120","Drama,Romance",6.6,1141
"tt0013933","movie","The Faithful Heart","1923","87","Drama,Romance",7.4,1459
"tt0014029","movie","The Extra Girl","1923","68","Comedy,Romance",6.7,1213
"tt0014109","movie","The Saga of Gösta Berling","1924","183","Drama,Romance",7,1386
"tt0014142","movie","The Hunchback of Notre Dame","1923","133","Drama,Horror,Romance",7.2,6146
"tt0014205","movie","Little Old New York","1923","110","Comedy,Romance",6.4,1091
"tt0014341","movie","Our Hospitality","1923","65","Comedy,Romance,Thriller",7.8,12550
"tt0014358","movie","The Pilgrim","1923","47","Comedy,Western",7.2,5719
"tt0014417","movie","The Wheel","1923","417","Drama",7.5,2577
